record,date,qtime,start_date,status,age,gender,zipcode,fylke2024,kommune2024,landsdel2024,age_group,age_group2,_v1,_v2,_v3,_v4,_v5,_v6,_v7,_v8,_v9,_v10,Q1r10oe,_v11,_v12,_v13,_v14,_v15,_v16,_v17,_v18,_v19,_v20,_v21,_v22,_v23,_v24,Q2r13oe,Q6,Q7,Q8,Q9,Q10,Q12,Q13,Q13b,Q14r1,_v25,_v26,_v27,_v28,_v29,_v30,_v31,_v32,_v33,_v34,_v35,_v36,_v37,_v38,_v39,_v40,_v41,_v42,_v43,_v44,_v45,_v46,_v47,_v48,_v49,Q17_1,Q17_2,Q17_3,Q17_4,Q17_5,Q17_6,Q17_7,Q17_8,Q17_9,Q17_10,Q17_11,Q17_12,Q17_13,Q17_14,Q17_15,Q17_16,Q17_17,Q17_18,Q17_19,Q17_20,Q17_21,Q17_22,Q17_23,Q17_24,_v50,_v51,_v52,_v53,_v54,_v55,_v56,_v57,_v58,_v59,_v60,_v61,_v62,_v63,_v64,_v65,_v66,_v67,_v68,_v69,_v70,_v71,_v72,_v73,_v74,_v75,_v76,_v77,_v78,_v79,_v80,_v81,_v82,_v83,_v84,_v85,_v86,_v87,_v88,_v89,_v90,_v91,_v92,_v93,_v94,_v95,_v96,_v97,Q25r1,Q25r2,Q25r3,Q25r4,Q25r5,Q25r6,Q26,Q27,Q27r11oe,Q27b,Q27br8oe,Q27c,Q30_desktop,Q30_mobile,Q30,Q31,Q32,Q33r1,Q33r2,Q33r3,Q33r4,Q33r5,Q33r6,Q33r7,Q33r8,Q33r9,Q33r10,Q33r11,Q33r12,Q34_1,Q34_2,Q35_1,Q35_2,Q36,Q37,Q37r99oe,Q38,Q39,Q40,Q40r21oe,Q41,Q42r1,_v98,UniqueID,non_respondent,educationLevel,personal_income
1156,04/24/2025 17:10,1095.306,04/24/2025 16:51,Qualified,61,Mann,2770,Innlandet,Gran,Østlandet,50-99,60+,Not selected,Not selected,Not selected,Helse & eldreomsorg,Not selected,Not selected,Not selected,Not selected,Idrett & kultur,Not selected,,Not selected,Not selected,"Bygge ut nye, småskala vannkraftanlegg i småelver i Norge",Bygge gasskraftverk i Norge,Not selected,Not selected,Not selected,Not selected,Not selected,Eksportere mindre kraft til utlandet,Not selected,Not selected,Not selected,Not selected,,Nei,6,Ja,"Flere, mindre anlegg med færre solcellepaneler per anlegg",2,Én gang (1 dag),Nei,Nei,13000,Not selected,Not selected,Not selected,Not selected,Not selected,Q17_5,Not selected,Not selected,Not selected,Q17_9,Q17_10,Not selected,Not selected,Not selected,Not selected,Q17_15,Not selected,Q17_17,Not selected,Not selected,Not selected,Q17_21,Not selected,Q17_23,Q17_24,,,,,Ingen utbygging,,,,Utbygging,Utbygging,,,,,Utbygging,,Utbygging,,,,Utbygging,,Utbygging,Utbygging,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Q17_9,Q17_10,Not selected,Not selected,Not selected,Not selected,Q17_15,Not selected,Q17_17,Not selected,Not selected,Not selected,Q17_21,Not selected,Q17_23,Q17_24,Not selected,Not selected,Not selected,Not selected,Q17_5,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,6,6,4,5,5,7 Svært viktig,2,,,,,Jeg ville vært mer negativ hvis anlegget ble bygget i en nabokommune,20% vind 80% sol,,20% vind 80% sol,4,"Ja, men på grunn av samfunnsutvikling må en akseptere noe reduksjon",3,2,2,6,5,4 Nøytral,5,4 Nøytral,4 Nøytral,4 Nøytral,2,4 Nøytral,20 000 kr,,2000 kr,,Ja,Nei,,3-4-årig universitetsutdanning (bachelor/cand.mag.),Nei,400 001 – 600 000 kr,,Ganske sikker,,"Nei, ingen ekstra kommentarer",,,,
1363,04/26/2025 11:50,2272.276,04/26/2025 11:12,Qualified,73,Mann,2500,Innlandet,Tynset,Østlandet,50-99,60+,Not selected,Not selected,Arbeidsplasser og økonomisk omstilling,Helse & eldreomsorg,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,,Not selected,Not selected,"Bygge ut nye, småskala vannkraftanlegg i småelver i Norge",Not selected,Utvide/oppgradere større vannkraftanlegg i Norge,Produsere mer fra solenergi i Norge,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,,Nei,6,Ja,"Færre, store anlegg med mange solcellepaneler for hvert anlegg",3,Ikke i det hele tatt,Nei,Nei,50000,Not selected,Q17_1,Q17_2,Not selected,Q17_4,Not selected,Not selected,Not selected,Not selected,Q17_9,Not selected,Q17_11,Not selected,Not selected,Not selected,Not selected,Not selected,Q17_17,Q17_18,Not selected,Q17_20,Not selected,Not selected,Not selected,Not selected,Utbygging,Utbygging,,Utbygging,,,,,Ingen utbygging,,Ingen utbygging,,,,,,Utbygging,Utbygging,,Ingen utbygging,,,,,Q17_1,Q17_2,Not selected,Q17_4,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Q17_17,Q17_18,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Q17_9,Not selected,Q17_11,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Q17_20,Not selected,Not selected,Not selected,Not selected,6,5,5,3,5,6,4,,,,,Min holdning ville vært den samme uansett hvor anlegget bygges,20% vind 80% sol,,20% vind 80% sol,6,"Ja, men på grunn av samfunnsutvikling må en akseptere noe reduksjon",6,5,4 Nøytral,5,4 Nøytral,5,5,5,5,6,5,5,10 000 kr,,10 000 kr,,Nei,Nei,,Grunnskole (7-10 år),Nei,600 001 – 800 000 kr,,Ganske usikker,,"Nei, ingen ekstra kommentarer",,,,
1509,04/28/2025 10:43,2764.004,04/28/2025 09:55,Qualified,49,Kvinne,2881,Innlandet,Nordre Land,Østlandet,40-49,40-49,Not selected,Not selected,Not selected,Helse & eldreomsorg,Not selected,Not selected,Politi & forsvar,Not selected,Not selected,Not selected,,Not selected,Not selected,"Bygge ut nye, småskala vannkraftanlegg i småelver i Norge",Not selected,Not selected,Not selected,Redusere kraftforbruk gjennom energisparing (Enøk),Not selected,Not selected,Eksportere mindre kraft til utlandet,Not selected,Not selected,Not selected,Not selected,,Nei,2,Nei,"Færre, store anlegg med mange solcellepaneler for hvert anlegg",7 Svært bekymret,Ikke i det hele tatt,Nei,Nei,,Vet ikke,Q17_1,Not selected,Not selected,Q17_4,Not selected,Not selected,Q17_7,Q17_8,Not selected,Not selected,Not selected,Q17_12,Not selected,Not selected,Not selected,Q17_16,Not selected,Not selected,Q17_19,Not selected,Not selected,Not selected,Q17_23,Not selected,Ingen utbygging,,,Ingen utbygging,,,Ingen utbygging,Ingen utbygging,,,,Ingen utbygging,,,,Ingen utbygging,,,Ingen utbygging,,,,Ingen utbygging,,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Q17_1,Not selected,Not selected,Q17_4,Not selected,Not selected,Q17_7,Q17_8,Not selected,Not selected,Not selected,Q17_12,Not selected,Not selected,Not selected,Q17_16,Not selected,Not selected,Q17_19,Not selected,Not selected,Not selected,Q17_23,Not selected,7 Svært viktig,4,7 Svært viktig,7 Svært viktig,7 Svært viktig,4,2,"Utbygging hadde for store effekter på natur og miljø, fordelene tatt i betraktning",,,,Min holdning ville vært den samme uansett hvor anlegget bygges,0% vind 100% sol,,0% vind 100% sol,7 Svært viktig,"Ja, vi må ikke redusere disse arealene",7 Generell stor negativ innvirkning,7 Generell stor negativ innvirkning,5,6,5,6,5,5,5,5,5,5,Mer enn 150 000 kr,300000,Mer enn 150 000 kr,300000,Nei,Nei,,3-4-årig universitetsutdanning (bachelor/cand.mag.),"Ja, vi bor i nærheten av arealer der det er eller kan bli aktuelt å bygge kraftverk",600 001 – 800 000 kr,,Ganske usikker,,"Nei, ingen ekstra kommentarer",,,,
1276,04/25/2025 20:06,1599.284,04/25/2025 19:39,Qualified,50,Mann,2340,Innlandet,Løten,Østlandet,50-99,50-59,Not selected,Not selected,Not selected,Not selected,Utdanning & forsking,Not selected,Politi & forsvar,Not selected,Not selected,Not selected,,Not selected,Not selected,Not selected,Not selected,Utvide/oppgradere større vannkraftanlegg i Norge,Not selected,Not selected,Not selected,Not selected,Eksportere mindre kraft til utlandet,Bygge vindkraftverk til havs,Not selected,Not selected,Not selected,,Nei,1 Svært negativ,Ja,Vet ikke,7 Svært bekymret,Én gang (1 dag),Nei,Nei,,Vet ikke,Q17_1,Not selected,Q17_3,Not selected,Q17_5,Q17_6,Not selected,Not selected,Not selected,Q17_10,Q17_11,Not selected,Not selected,Not selected,Q17_15,Q17_16,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Ingen utbygging,,Ingen utbygging,,Ingen utbygging,Ingen utbygging,,,,Ingen utbygging,Ingen utbygging,,,,Ingen utbygging,Ingen utbygging,,,,,,,,,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Q17_1,Not selected,Q17_3,Not selected,Q17_5,Q17_6,Not selected,Not selected,Not selected,Q17_10,Q17_11,Not selected,Not selected,Not selected,Q17_15,Q17_16,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,7 Svært viktig,7 Svært viktig,7 Svært viktig,7 Svært viktig,7 Svært viktig,1 Ikke viktig i det hele tatt,1 Svært lett,Å forsyne Europe med fornybar energi fra Norge skal ikke gå på bekostning av norsk natur,,,,Min holdning ville vært den samme uansett hvor anlegget bygges,,0% vind 100% sol,0% vind 100% sol,7 Svært viktig,"Ja, vi må ikke redusere disse arealene",7 Generell stor negativ innvirkning,7 Generell stor negativ innvirkning,4 Nøytral,4 Nøytral,7 Generell stor negativ innvirkning,7 Generell stor negativ innvirkning,7 Generell stor negativ innvirkning,5,4 Nøytral,6,4 Nøytral,5,Jeg er imot utbygging uansett,,Jeg er imot utbygging uansett,,Nei,Ja,,5-årig universitetsutdanning (mastergrad/profesjonsutdanning),"Ja, vi bor i nærheten av arealer der det er eller kan bli aktuelt å bygge kraftverk",1 200 001 – 1 400 000 kr,,Veldig usikker,"Monter heller solceller på alle hus-, fjøs eller industribygningstak mot kompensasjon. Det vil bli dyrt, men det blir fortsatt produsert strøm som kommer innbyggerne tilgode. Da sparer vi naturområder og slipper å velge mellom pest eller kolera!",Not selected,,,,
1537,04/30/2025 13:36,1025.535,04/28/2025 11:53,Qualified,28,Kvinne,2607,Innlandet,Lillehammer,Østlandet,Less than 30,18-29,Not selected,Not selected,Not selected,Helse & eldreomsorg,Utdanning & forsking,Not selected,Not selected,Not selected,Not selected,Not selected,,Not selected,Not selected,Not selected,Not selected,Utvide/oppgradere større vannkraftanlegg i Norge,Not selected,Not selected,Not selected,Not selected,Eksportere mindre kraft til utlandet,Bygge vindkraftverk til havs,Not selected,Not selected,Not selected,,Nei,7 Svært positiv,Ja,"Færre, store anlegg med mange solcellepaneler for hvert anlegg",3,Ikke i det hele tatt,Nei,Nei,12000,Not selected,Not selected,Not selected,Not selected,Q17_4,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Q17_12,Not selected,Q17_14,Q17_15,Not selected,Not selected,Q17_18,Q17_19,Not selected,Q17_21,Not selected,Not selected,Q17_24,,,,Ingen utbygging,,,,,,,,Ingen utbygging,,Ingen utbygging,Utbygging,,,Ingen utbygging,Utbygging,,Ingen utbygging,,,Ingen utbygging,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Q17_15,Not selected,Not selected,Not selected,Q17_19,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Q17_4,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Q17_12,Not selected,Q17_14,Not selected,Not selected,Not selected,Q17_18,Not selected,Not selected,Q17_21,Not selected,Not selected,Q17_24,5,4,6,3,2,4,5,,,,,Min holdning ville vært den samme uansett hvor anlegget bygges,,40% vind 60% sol,40% vind 60% sol,6,"Ja, men på grunn av samfunnsutvikling må en akseptere noe reduksjon",5,4 Nøytral,4 Nøytral,6,6,7 Generell stor negativ innvirkning,4 Nøytral,4 Nøytral,6,7 Generell stor negativ innvirkning,3,6,Vet ikke,,Vet ikke,,Nei,Nei,,5-årig universitetsutdanning (mastergrad/profesjonsutdanning),Nei,200 001 – 400 000 kr,,Ganske usikker,,"Nei, ingen ekstra kommentarer",,,,
1585,04/28/2025 22:29,821.501,04/28/2025 22:13,Qualified,66,Mann,2388,Innlandet,Ringsaker,Østlandet,50-99,60+,Not selected,Not selected,Not selected,Helse & eldreomsorg,Not selected,Not selected,Politi & forsvar,Not selected,Not selected,Not selected,,Not selected,Not selected,Not selected,Not selected,Utvide/oppgradere større vannkraftanlegg i Norge,Not selected,Redusere kraftforbruk gjennom energisparing (Enøk),Not selected,Not selected,Eksportere mindre kraft til utlandet,Not selected,Not selected,Not selected,Not selected,,Nei,2,Ja,"Færre, store anlegg med mange solcellepaneler for hvert anlegg",5,Ikke i det hele tatt,Nei,Nei,25000,Not selected,Not selected,Q17_2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Q17_11,Q17_12,Not selected,Q17_14,Q17_15,Not selected,Q17_17,Q17_18,Q17_19,Not selected,Not selected,Not selected,Not selected,Not selected,,Utbygging,,,,,,,,,Utbygging,Utbygging,,Ingen utbygging,Utbygging,,Utbygging,Ingen utbygging,Utbygging,,,,,,Not selected,Q17_2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Q17_11,Q17_12,Not selected,Not selected,Q17_15,Not selected,Q17_17,Not selected,Q17_19,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Q17_14,Not selected,Not selected,Not selected,Q17_18,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,4,5,5,5,6,3,2,,,,,Min holdning ville vært den samme uansett hvor anlegget bygges,,0% vind 100% sol,0% vind 100% sol,6,"Ja, men på grunn av samfunnsutvikling må en akseptere noe reduksjon",7 Generell stor negativ innvirkning,4 Nøytral,4 Nøytral,4 Nøytral,5,5,7 Generell stor negativ innvirkning,4 Nøytral,4 Nøytral,5,3,4 Nøytral,50 000 kr,,Jeg er for utbygging uansett,,Ja,Ja,,3-4-årig universitetsutdanning (bachelor/cand.mag.),Nei,1 600 001 – 1 800 000 kr,,Ganske usikker,,"Nei, ingen ekstra kommentarer",,,,
1974,05/02/2025 15:36,893.822,05/02/2025 15:21,Qualified,49,Mann,2847,Innlandet,Østre Toten,Østlandet,40-49,40-49,Vern av natur & biologisk mangfold,Not selected,Not selected,Not selected,Not selected,Not selected,Politi & forsvar,Not selected,Not selected,Not selected,,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Redusere kraftforbruk gjennom energisparing (Enøk),Not selected,Not selected,Eksportere mindre kraft til utlandet,Not selected,Atomkraftverk,Not selected,Not selected,,Nei,1 Svært negativ,Nei,"Flere, mindre anlegg med færre solcellepaneler per anlegg",7 Svært bekymret,Ikke i det hele tatt,Nei,Nei,12000,Not selected,Not selected,Q17_2,Not selected,Not selected,Q17_5,Not selected,Q17_7,Not selected,Not selected,Q17_10,Not selected,Q17_12,Q17_13,Not selected,Q17_15,Not selected,Q17_17,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,,Ingen utbygging,,,Ingen utbygging,,Ingen utbygging,,,Ingen utbygging,,Ingen utbygging,Ingen utbygging,,Ingen utbygging,,Ingen utbygging,,,,,,,,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Q17_2,Not selected,Not selected,Q17_5,Not selected,Q17_7,Not selected,Not selected,Q17_10,Not selected,Q17_12,Q17_13,Not selected,Q17_15,Not selected,Q17_17,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,1 Ikke viktig i det hele tatt,1 Ikke viktig i det hele tatt,7 Svært viktig,1 Ikke viktig i det hele tatt,1 Ikke viktig i det hele tatt,1 Ikke viktig i det hele tatt,1 Svært lett,"Utbygging hadde for store effekter på natur og miljø, fordelene tatt i betraktning",,,,"Jeg støtter ikke solkraftutbygging, uansett lokasjon",0% vind 100% sol,,0% vind 100% sol,7 Svært viktig,"Ja, vi må ikke redusere disse arealene",7 Generell stor negativ innvirkning,7 Generell stor negativ innvirkning,6,7 Generell stor negativ innvirkning,7 Generell stor negativ innvirkning,7 Generell stor negativ innvirkning,6,5,7 Generell stor negativ innvirkning,7 Generell stor negativ innvirkning,6,5,Jeg er imot utbygging uansett,,Jeg er imot utbygging uansett,,Ja,Ja,,3-4-årig universitetsutdanning (bachelor/cand.mag.),"Ja, vi bor i nærheten av arealer der det er eller kan bli aktuelt å bygge kraftverk",3 400 001 – 3 600 000 kr,,Veldig usikker,,"Nei, ingen ekstra kommentarer",,,,
560,04/27/2025 13:41,931.647,04/16/2025 15:47,Qualified,79,Mann,2500,Innlandet,Tynset,Østlandet,50-99,60+,Not selected,Not selected,Not selected,Helse & eldreomsorg,Not selected,Samferdsel & annen infrastruktur,Not selected,Not selected,Not selected,Not selected,,Not selected,Not selected,"Bygge ut nye, småskala vannkraftanlegg i småelver i Norge",Not selected,Utvide/oppgradere større vannkraftanlegg i Norge,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Atomkraftverk,Not selected,Not selected,,Nei,1 Svært negativ,Ja,"Flere, mindre anlegg med færre solcellepaneler per anlegg",4 Nøytral,Ikke i det hele tatt,Nei,Nei,15000,Not selected,Q17_1,Not selected,Not selected,Q17_4,Not selected,Not selected,Not selected,Not selected,Q17_9,Not selected,Not selected,Q17_12,Not selected,Not selected,Q17_15,Not selected,Q17_17,Not selected,Not selected,Not selected,Not selected,Q17_22,Not selected,Q17_24,Ingen utbygging,,,Ingen utbygging,,,,,Ingen utbygging,,,Ingen utbygging,,,Ingen utbygging,,Ingen utbygging,,,,,Ingen utbygging,,Ingen utbygging,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Q17_1,Not selected,Not selected,Q17_4,Not selected,Not selected,Not selected,Not selected,Q17_9,Not selected,Not selected,Q17_12,Not selected,Not selected,Q17_15,Not selected,Q17_17,Not selected,Not selected,Not selected,Not selected,Q17_22,Not selected,Q17_24,7 Svært viktig,7 Svært viktig,7 Svært viktig,7 Svært viktig,7 Svært viktig,7 Svært viktig,4,Jeg tror ikke utbyggingsalternativet vil fungere etter sin hensikt,,,,Min holdning ville vært den samme uansett hvor anlegget bygges,80% vind 20% sol,,80% vind 20% sol,4,"Ja, men på grunn av samfunnsutvikling må en akseptere noe reduksjon",6,7 Generell stor negativ innvirkning,1 Generell liten negativ innvirkning,3,2,3,2,2,2,3,1 Generell liten negativ innvirkning,6,Mer enn 150 000 kr,0,Mer enn 150 000 kr,500000,Nei,Nei,,3-4-årig universitetsutdanning (bachelor/cand.mag.),Nei,Ønsker ikke å oppgi,,Ganske usikker,,"Nei, ingen ekstra kommentarer",,,,
1618,04/29/2025 10:01,694.437,04/29/2025 09:48,Qualified,46,Kvinne,2819,Innlandet,Gjøvik,Østlandet,40-49,40-49,Not selected,Not selected,Not selected,Helse & eldreomsorg,Utdanning & forsking,Not selected,Not selected,Not selected,Not selected,Not selected,,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Eksportere mindre kraft til utlandet,Bygge vindkraftverk til havs,Atomkraftverk,Not selected,Not selected,,Nei,7 Svært positiv,Nei,"Flere, mindre anlegg med færre solcellepaneler per anlegg",4 Nøytral,Ikke i det hele tatt,Nei,Nei,,Vet ikke,Not selected,Not selected,Not selected,Q17_4,Q17_5,Not selected,Not selected,Q17_8,Not selected,Not selected,Not selected,Q17_12,Not selected,Q17_14,Not selected,Not selected,Q17_17,Not selected,Q17_19,Not selected,Not selected,Q17_22,Not selected,Not selected,,,,Utbygging,Utbygging,,,Utbygging,,,,Utbygging,,Utbygging,,,Utbygging,,Utbygging,,,Utbygging,,,Not selected,Not selected,Not selected,Q17_4,Q17_5,Not selected,Not selected,Q17_8,Not selected,Not selected,Not selected,Q17_12,Not selected,Q17_14,Not selected,Not selected,Q17_17,Not selected,Q17_19,Not selected,Not selected,Q17_22,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,5,5,4,4,3,5,4,,,Vi må øke strømproduksjonen i Norge for egen sikkerhet,,Min holdning ville vært den samme uansett hvor anlegget bygges,,40% vind 60% sol,40% vind 60% sol,5,"Ja, men på grunn av samfunnsutvikling må en akseptere noe reduksjon",4 Nøytral,5,4 Nøytral,5,6,6,4 Nøytral,4 Nøytral,5,5,4 Nøytral,4 Nøytral,Vet ikke,,Vet ikke,,Nei,Nei,,3-4-årig universitetsutdanning (bachelor/cand.mag.),Nei,600 001 – 800 000 kr,,Ganske usikker,,"Nei, ingen ekstra kommentarer",,,,
2061,05/03/2025 18:01,719.6,05/03/2025 17:48,Qualified,76,Mann,2316,Innlandet,Hamar,Østlandet,50-99,60+,Not selected,Not selected,Arbeidsplasser og økonomisk omstilling,Helse & eldreomsorg,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,,Not selected,Not selected,"Bygge ut nye, småskala vannkraftanlegg i småelver i Norge",Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Eksportere mindre kraft til utlandet,Bygge vindkraftverk til havs,Not selected,Not selected,Not selected,,Nei,3,Ja,Vet ikke,3,Ikke i det hele tatt,Nei,Nei,25000,Not selected,Not selected,Not selected,Q17_3,Not selected,Not selected,Not selected,Not selected,Q17_8,Q17_9,Not selected,Q17_11,Not selected,Q17_13,Q17_14,Not selected,Q17_16,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Q17_23,Not selected,,,Ingen utbygging,,,,,Utbygging,Ingen utbygging,,Ingen utbygging,,Utbygging,Ingen utbygging,,Ingen utbygging,,,,,,,Utbygging,,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Q17_8,Not selected,Not selected,Not selected,Not selected,Q17_13,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Q17_23,Not selected,Not selected,Not selected,Q17_3,Not selected,Not selected,Not selected,Not selected,Not selected,Q17_9,Not selected,Q17_11,Not selected,Not selected,Q17_14,Not selected,Q17_16,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,6,2,6,7 Svært viktig,6,7 Svært viktig,5,,,,,Min holdning ville vært den samme uansett hvor anlegget bygges,,40% vind 60% sol,40% vind 60% sol,6,"Ja, men på grunn av samfunnsutvikling må en akseptere noe reduksjon",7 Generell stor negativ innvirkning,7 Generell stor negativ innvirkning,3,2,1 Generell liten negativ innvirkning,3,4 Nøytral,1 Generell liten negativ innvirkning,1 Generell liten negativ innvirkning,1 Generell liten negativ innvirkning,2,6,150 000 kr,,150 000 kr,,Nei,Nei,,3-4-årig universitetsutdanning (bachelor/cand.mag.),Nei,600 001 – 800 000 kr,,Ganske usikker,,"Nei, ingen ekstra kommentarer",,,,
586,04/16/2025 16:56,478.499,04/16/2025 16:48,Qualified,56,Mann,2839,Innlandet,Gjøvik,Østlandet,50-99,50-59,Vern av natur & biologisk mangfold,Not selected,Not selected,Helse & eldreomsorg,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Eksportere mindre kraft til utlandet,Not selected,Not selected,Not selected,Not selected,,Nei,5,Nei,"Flere, mindre anlegg med færre solcellepaneler per anlegg",6,Ikke i det hele tatt,Nei,Nei,15000,Not selected,Q17_1,Q17_2,Q17_3,Not selected,Q17_5,Not selected,Not selected,Not selected,Q17_9,Not selected,Not selected,Not selected,Not selected,Not selected,Q17_15,Not selected,Not selected,Not selected,Q17_19,Not selected,Not selected,Not selected,Q17_23,Not selected,Ingen utbygging,Ingen utbygging,Ingen utbygging,,Ingen utbygging,,,,Ingen utbygging,,,,,,Ingen utbygging,,,,Ingen utbygging,,,,Ingen utbygging,,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Q17_1,Q17_2,Q17_3,Not selected,Q17_5,Not selected,Not selected,Not selected,Q17_9,Not selected,Not selected,Not selected,Not selected,Not selected,Q17_15,Not selected,Not selected,Not selected,Q17_19,Not selected,Not selected,Not selected,Q17_23,Not selected,1 Ikke viktig i det hele tatt,1 Ikke viktig i det hele tatt,7 Svært viktig,7 Svært viktig,7 Svært viktig,4,1 Svært lett,Å forsyne Europe med fornybar energi fra Norge skal ikke gå på bekostning av norsk natur,,,,"Jeg støtter ikke solkraftutbygging, uansett lokasjon",,60% vind 40% sol,60% vind 40% sol,7 Svært viktig,"Ja, vi må ikke redusere disse arealene",7 Generell stor negativ innvirkning,7 Generell stor negativ innvirkning,5,6,5,7 Generell stor negativ innvirkning,4 Nøytral,4 Nøytral,5,6,3,5,Jeg er imot utbygging uansett,,Jeg er imot utbygging uansett,,Nei,Ja,,5-årig universitetsutdanning (mastergrad/profesjonsutdanning),Nei,Ønsker ikke å oppgi,,Veldig usikker,,"Nei, ingen ekstra kommentarer",,,,
